date,state,fips,cases,deaths,population,cases_prop
2020-03-05,Nebraska,31,13,0,1934408,0.6720402314299776
2020-03-05,Nevada,32,2,0,3080156,0.06493177618276477
2020-03-05,New Hampshire,33,2,0,1359711,0.1470900801714482
2020-03-05,New Jersey,34,2,0,8882190,0.022516969351027167
2020-03-05,New York,36,22,0,19453561,0.11308983481224852
2020-03-05,North Carolina,37,1,0,10488084,0.009534629966731769
2020-03-05,Oregon,41,2,0,4217737,0.04741879353786165
2020-03-05,Rhode Island,44,2,0,1059361,0.18879305543624883
2020-03-05,Tennessee,47,1,0,6833174,0.014634487574881014
2020-03-05,Texas,48,16,0,28995881,0.055180251291554135
2020-03-05,Utah,49,1,0,3205958,0.03119192453550546
2020-03-05,Washington,53,75,11,7614893,0.9849120663941043
2020-03-05,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-06,Arizona,04,3,0,7278717,0.04121605497232548
2020-03-06,California,06,81,1,39512223,0.20499985536121318
2020-03-06,Colorado,08,8,0,5758736,0.1389193739737331
2020-03-06,Florida,12,7,2,21477737,0.032591888055990254
2020-03-06,Georgia,13,3,0,10617423,0.028255443905738708
2020-03-06,Hawaii,15,1,0,1415872,0.07062785336527595
2020-03-06,Illinois,17,6,0,12671821,0.04734915368517279
2020-03-06,Indiana,18,1,0,6732219,0.014853943402613612
2020-03-06,Kentucky,21,1,0,4467673,0.0223830168412057
2020-03-06,Maryland,24,3,0,6045680,0.04962220957774807
2020-03-06,Massachusetts,25,8,0,6949503,0.11511614571574398
2020-03-06,Minnesota,27,1,0,5639632,0.017731653412846795
2020-03-06,Nebraska,31,14,0,1934408,0.7237356338476681
2020-03-06,Nevada,32,2,0,3080156,0.06493177618276477
2020-03-06,New Hampshire,33,2,0,1359711,0.1470900801714482
2020-03-06,New Jersey,34,4,0,8882190,0.045033938702054334
2020-03-06,New York,36,44,0,19453561,0.22617966962449704
2020-03-06,North Carolina,37,2,0,10488084,0.019069259933463537
2020-03-06,Oklahoma,40,1,0,3956971,0.02527185566939965
2020-03-06,Oregon,41,2,0,4217737,0.04741879353786165
2020-03-06,Pennsylvania,42,2,0,12801989,0.015622572398710857
2020-03-06,Rhode Island,44,3,0,1059361,0.28318958315437326
2020-03-06,South Carolina,45,2,0,5148714,0.03884465130516086
2020-03-06,Tennessee,47,1,0,6833174,0.014634487574881014
2020-03-06,Texas,48,19,0,28995881,0.06552654840872053
2020-03-06,Utah,49,3,0,3205958,0.09357577360651637
2020-03-06,Washington,53,86,12,7614893,1.1293658361319063
